yolo_class,mapped_database_name,match_score,calories_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,macro_calculated_kcal,kcal_minus_macro_kcal,source,source_url,status,verification_note
ras_malai,Rasmalai,1.00,135.5,1.61,29.17,2.11,142.1,-6.6,INDB,,VERIFIED,Direct class-to-food mapping with complete per-100g macros.
rice,Boiled rice (Uble chawal),1.00,117.2,2.60,25.72,0.18,114.9,2.2,INDB,,VERIFIED,Direct class-to-food mapping with complete per-100g macros.
roti,Chapati/Roti,1.00,202.3,5.88,35.65,3.56,198.1,4.2,INDB,,VERIFIED,Direct class-to-food mapping with complete per-100g macros.
saag,Sarson ka saag,1.00,87.8,3.00,5.33,5.86,86.1,1.8,INDB,,VERIFIED,Direct class-to-food mapping with complete per-100g macros.
salad,Tossed salad,0.90,63.0,1.02,4.95,4.22,61.9,1.1,INDB,,VERIFIED,High-confidence semantic mapping with complete per-100g macros.
sambar,Sambar,1.00,96.9,3.35,10.57,4.38,95.1,1.8,INDB,,VERIFIED,Direct class-to-food mapping with complete per-100g macros.
sambar_satham,Vegetable khichdi/khichri,0.80,143.2,5.61,19.57,4.53,141.5,1.7,INDB,,REVIEW,Acceptable substitute mapping; verify against project scope.
samosa,Potato samosa (Aloo ka samosa),1.00,577.4,1.71,9.21,59.19,576.4,1.0,INDB,,VERIFIED,Direct class-to-food mapping with complete per-100g macros.
shahi_paneer,Shahi paneer,1.00,156.5,5.06,6.64,12.34,157.9,-1.4,INDB,,VERIFIED,Direct class-to-food mapping with complete per-100g macros.
thepla,Methi thepla,0.95,346.2,8.98,41.34,15.95,344.8,1.4,INDB,,VERIFIED,High-confidence semantic mapping with complete per-100g macros.
upma,Semolina upma (Suji/Rava upma),0.95,147.9,3.30,16.31,7.49,145.9,2.0,INDB,,VERIFIED,High-confidence semantic mapping with complete per-100g macros.
veg_briyani,Vegetable biryani/biriyani,1.00,174.6,3.16,18.56,9.51,172.4,2.2,INDB,,VERIFIED,Direct class-to-food mapping with complete per-100g macros.
veg_pulao,Mixed vegetable pulao,1.00,113.0,2.72,17.49,3.33,110.8,2.2,INDB,,VERIFIED,Direct class-to-food mapping with complete per-100g macros.
ven_pongal,Plain khitchdi (Plain khichri/khichdi),0.75,57.0,1.72,10.04,1.01,56.1,0.9,INDB,,REVIEW,Low-confidence substitute mapping; keep documented as an approximation.
